waste_id,date_listed,category,sub_category,description,location,quantity_kg,unit,demand_index,price_per_unit_lkr,total_value_lkr,status
982d6abf-a1e1-43d5-9b9f-ff85d1f226bb,2026-01-29,Metal,Aluminum Cans,Unsorted Aluminum Cans available at Paliyagoda factory.,Paliyagoda,1937.39,kg,1.1,343.6,665687.2,Sold
9a8d07ad-d375-4e8f-99d8-225071f79c28,2026-01-29,Metal,Steel Scraps,Dirty Steel Scraps available at Katunayake factory.,Katunayake Export Processing Zone,634.05,kg,1.16,237.57,150631.26,Available
8426935e-df4a-4064-8fc5-7c65b7f03a9c,2026-01-29,Textile Offcuts,Mixed,Clean Mixed available at Colombo factory.,Colombo Industrial Zone,247.34,kg,0.99,34.93,8639.59,Available
695fb765-58f2-4c4b-a397-279fac835f83,2026-01-29,Metal,Steel Scraps,Loose Steel Scraps available at Biyagama factory.,Biyagama Export Processing Zone,1494.35,kg,1.01,193.8,289605.03,Available
3e4cf007-1ebe-46f0-948c-5a6253b1939b,2026-01-29,Textile Offcuts,Cotton,Unsorted Cotton available at Biyagama factory.,Biyagama Export Processing Zone,288.31,kg,1.16,116.47,33579.47,Available
6c34b0c8-148d-46b9-bd67-e9c6681e0697,2026-01-29,Textile Offcuts,Mixed,Sorted Mixed available at Seethawaka factory.,Seethawaka Export Processing Zone,1860.26,kg,0.98,28.61,53222.04,Available
158ad00d-06b7-41c4-9acb-832252506ca3,2026-01-29,Chemical,Empty Drums (Plastic),Leftover Empty Drums (Plastic) available at Seethawaka factory.,Seethawaka Export Processing Zone,1740.38,units,0.82,495.23,861888.39,Available
082654be-d21f-4d05-b3ca-4ad37478ebd1,2026-01-29,Plastic,LDPE Wrap,Baled LDPE Wrap available at Katunayake factory.,Katunayake Export Processing Zone,1796.9,kg,1.15,102.81,184739.29,Available
774128b0-a45b-469d-aa97-0d536c3aa5cc,2026-01-29,Textile Offcuts,Cotton,Loose Cotton available at Ekala factory.,Ekala Industrial Estate,1784.03,kg,1.08,58.27,103955.43,Available
c15ebb98-770e-4215-afc5-9254fe2bc0aa,2026-01-29,Plastic,PET Bottles,Mixed PET Bottles available at Colombo factory.,Colombo Industrial Zone,865.41,kg,0.83,89.18,77177.26,Available
ef6c163d-2802-4932-a574-8a9e2a0d5579,2026-01-29,Paper,Cardboard,Baled Cardboard available at Seethawaka factory.,Seethawaka Export Processing Zone,1061.73,kg,1.12,45.6,48414.89,Available
99687138-cd43-4717-936d-5b805f446508,2026-01-29,Metal,Aluminum Cans,Loose Aluminum Cans available at Seethawaka factory.,Seethawaka Export Processing Zone,811.13,kg,1.0,381.89,309762.44,Available
fe9ab1c4-8a85-4a2b-88b5-32d5df9fea53,2026-01-29,Textile Offcuts,Mixed,Mixed Mixed available at Biyagama factory.,Biyagama Export Processing Zone,1364.29,kg,1.11,44.84,61174.76,Available
90fab6fc-46f5-47c0-bcb1-13a7394e5afd,2026-01-29,Textile Offcuts,Mixed,Baled Mixed available at Biyagama factory.,Biyagama Export Processing Zone,1873.37,kg,1.17,33.73,63188.77,Available
2af846b2-5674-424d-ac34-e6b43713ff43,2026-01-29,Paper,Mixed,Dirty Mixed available at Katunayake factory.,Katunayake Export Processing Zone,712.46,kg,0.83,29.72,21174.31,Available
09522ebe-b568-4ae9-86e2-4db448a4b330,2026-01-29,Paper,Cardboard,Unsorted Cardboard available at Horana factory.,Horana Export Processing Zone,553.0,kg,1.17,60.55,33484.15,Available
1c5bf527-0323-4250-b85d-5bf13a95e12a,2026-01-29,Plastic,HDPE Containers,Mixed HDPE Containers available at Paliyagoda factory.,Paliyagoda,1680.04,kg,0.91,99.02,166357.56,Sold
4f875568-591a-4c20-bf80-09cd822b4214,2026-01-29,Chemical,Empty Drums (Plastic),Leftover Empty Drums (Plastic) available at Katunayake factory.,Katunayake Export Processing Zone,1642.62,units,0.92,616.95,1013414.41,Sold
9c3f70fe-9ac3-47df-9771-b11234797466,2026-01-29,Paper,Mixed,Leftover Mixed available at Ekala factory.,Ekala Industrial Estate,1234.91,kg,0.96,15.24,18820.03,Sold
d83b423e-f8f7-42c7-847b-de26fe25442f,2026-01-29,Chemical,Empty Drums (Plastic),Baled Empty Drums (Plastic) available at Koggala factory.,Koggala Export Processing Zone,1499.84,units,1.04,691.42,1037019.37,Available
0daf9478-3062-44d8-b96a-6ff80b4f6b74,2026-01-29,Paper,Cardboard,Baled Cardboard available at Koggala factory.,Koggala Export Processing Zone,752.45,kg,1.0,35.11,26418.52,Available
5f4acba3-77fe-446d-9656-d44f6ae1d456,2026-01-29,Organic,Food Waste,Unsorted Food Waste available at Katunayake factory.,Katunayake Export Processing Zone,1334.08,kg,0.82,5.09,6790.47,Sold
3a642db5-f9f6-4639-a59c-5f5375ccfba8,2026-01-29,Plastic,LDPE Wrap,Clean LDPE Wrap available at Seethawaka factory.,Seethawaka Export Processing Zone,1202.68,kg,1.08,111.44,134026.66,Sold
1d9639ff-98d2-4889-a8e0-7409fd11a15a,2026-01-29,Paper,Cardboard,Sorted Cardboard available at Seethawaka factory.,Seethawaka Export Processing Zone,854.56,kg,0.86,28.58,24423.32,Available
419a0573-b331-43a6-b3ce-2853a3629f51,2026-01-29,Metal,Steel Scraps,Unsorted Steel Scraps available at Ekala factory.,Ekala Industrial Estate,1202.79,kg,1.17,228.01,274248.15,Available
a37d6bce-8814-4ce3-8e57-2b33b3fef65e,2026-01-29,Plastic,PET Bottles,Leftover PET Bottles available at Colombo factory.,Colombo Industrial Zone,643.11,kg,0.95,78.42,50432.69,Available
bff7f812-e0b7-472d-a0d6-d1d571d7e767,2026-01-29,Plastic,PET Bottles,Loose PET Bottles available at Colombo factory.,Colombo Industrial Zone,1832.98,kg,0.95,93.32,171053.69,Sold
011bc4d7-6010-41f0-a0f1-f98bd6ed125b,2026-01-29,Chemical,Empty Drums (Plastic),Sorted Empty Drums (Plastic) available at Paliyagoda factory.,Paliyagoda,84.0,units,1.12,876.68,73641.12,Sold
bcc4b5eb-00ea-4052-9372-738252799885,2026-01-29,Paper,Cardboard,Mixed Cardboard available at Seethawaka factory.,Seethawaka Export Processing Zone,799.73,kg,0.98,56.9,45504.64,Sold
6086de1a-af98-4a7b-ba6e-903918c18cd4,2026-01-29,Metal,Steel Scraps,Leftover Steel Scraps available at Ekala factory.,Ekala Industrial Estate,684.8,kg,1.19,224.39,153662.27,Available
0908e86b-ba86-42b5-9266-e4544647ca01,2026-01-29,Plastic,LDPE Wrap,Dirty LDPE Wrap available at Seethawaka factory.,Seethawaka Export Processing Zone,1575.18,kg,1.16,103.62,163220.15,Available
96e99717-c130-4e05-a069-8708ca77eaa3,2026-01-29,Textile Offcuts,Cotton,Unsorted Cotton available at Horana factory.,Horana Export Processing Zone,1050.75,kg,1.16,67.02,70421.26,Sold
078f67f6-9cce-44ec-b54f-41f100784d40,2026-01-29,Paper,Mixed,Mixed Mixed available at Biyagama factory.,Biyagama Export Processing Zone,846.22,kg,1.14,39.4,33341.07,Available
f4ee2d1f-6eb6-4040-a8f8-cdf436cb94e2,2026-01-29,Chemical,Empty Drums (Plastic),Loose Empty Drums (Plastic) available at Ekala factory.,Ekala Industrial Estate,1159.72,units,1.02,603.92,700378.1,Available
476a3713-1a66-4b0c-93b6-071629bd9954,2026-01-29,Chemical,Empty Drums (Plastic),Loose Empty Drums (Plastic) available at Biyagama factory.,Biyagama Export Processing Zone,661.12,units,1.07,597.88,395270.43,Available
b0a302c0-d92f-451f-80fc-b625d69cf80f,2026-01-29,Plastic,LDPE Wrap,Sorted LDPE Wrap available at Paliyagoda factory.,Paliyagoda,864.81,kg,0.89,82.36,71225.75,Sold
d709175a-4727-47c5-af60-bfe366f8ec08,2026-01-29,Organic,Food Waste,Loose Food Waste available at Paliyagoda factory.,Paliyagoda,1481.87,kg,1.17,10.04,14877.97,Available
d4fb1ba7-49dd-4597-ae77-c991c1d8b425,2026-01-29,Metal,Aluminum Cans,Mixed Aluminum Cans available at Seethawaka factory.,Seethawaka Export Processing Zone,92.11,kg,1.14,381.53,35142.73,Available
cfafc29e-671b-4d8d-88eb-2d9f24234bac,2026-01-29,Metal,Aluminum Cans,Loose Aluminum Cans available at Paliyagoda factory.,Paliyagoda,1717.2,kg,1.04,369.57,634625.6,Available
5aa895ce-5fef-412f-a7fb-d3e35206aaa0,2026-01-29,Organic,Food Waste,Leftover Food Waste available at Biyagama factory.,Biyagama Export Processing Zone,1860.9,kg,1.07,10.94,20358.25,Available
af2173d6-45d7-4949-9c47-d8f79c7e73a3,2026-01-29,Organic,Food Waste,Clean Food Waste available at Ekala factory.,Ekala Industrial Estate,440.87,kg,1.16,11.68,5149.36,Available
1d9136a4-3bd2-4504-a8c5-2351ce9be191,2026-01-29,Textile Offcuts,Polyester,Baled Polyester available at Horana factory.,Horana Export Processing Zone,433.21,kg,1.04,39.53,17124.79,Available
c95eb036-f6c8-49f3-b028-2d9000223158,2026-01-29,Chemical,Empty Drums (Plastic),Unsorted Empty Drums (Plastic) available at Katunayake factory.,Katunayake Export Processing Zone,957.1,units,1.01,544.77,521399.37,Available
ed1a3af6-2b22-461b-9e22-6558f9408ab4,2026-01-29,Organic,Food Waste,Baled Food Waste available at Ekala factory.,Ekala Industrial Estate,1672.75,kg,0.93,9.21,15406.03,Available
88dc77c1-f759-476f-b06b-7c24c686e5a4,2026-01-29,Chemical,Empty Drums (Plastic),Unsorted Empty Drums (Plastic) available at Biyagama factory.,Biyagama Export Processing Zone,1678.95,units,0.94,733.34,1231241.19,Available
f3b108c6-864f-41a0-a8d4-27e81b0725fb,2026-01-29,Metal,Aluminum Cans,Sorted Aluminum Cans available at Paliyagoda factory.,Paliyagoda,1670.58,kg,0.9,292.72,489012.18,Available
e968cbaf-8f40-485a-b73f-325c820c946d,2026-01-29,Paper,Mixed,Baled Mixed available at Seethawaka factory.,Seethawaka Export Processing Zone,232.2,kg,0.82,15.14,3515.51,Available
c73e6242-e641-4b26-96ac-59a3c46338fd,2026-01-29,Plastic,LDPE Wrap,Unsorted LDPE Wrap available at Paliyagoda factory.,Paliyagoda,639.56,kg,1.01,94.98,60745.41,Available
885a8da7-a2ab-47ea-ac40-9ef4331449ae,2026-01-29,Plastic,PET Bottles,Mixed PET Bottles available at Seethawaka factory.,Seethawaka Export Processing Zone,652.73,kg,0.9,73.93,48256.33,Available
3e1fc471-d2d5-4a2f-b35f-2126cf5253d8,2026-01-29,Organic,Food Waste,Loose Food Waste available at Colombo factory.,Colombo Industrial Zone,1913.16,kg,1.0,5.47,10464.99,Available
a1e97035-9da4-4cfc-a1cf-f625ff53e8c8,2026-01-29,Paper,Mixed,Baled Mixed available at Horana factory.,Horana Export Processing Zone,523.2,kg,0.98,32.72,17119.1,Sold
7189e0a7-1a8c-476c-a719-0c173161be45,2026-01-29,Textile Offcuts,Cotton,Mixed Cotton available at Katunayake factory.,Katunayake Export Processing Zone,1397.1,kg,1.1,76.58,106989.92,Available
c16b3f16-8733-4fe4-a489-475441640b43,2026-01-29,Textile Offcuts,Mixed,Mixed Mixed available at Seethawaka factory.,Seethawaka Export Processing Zone,117.06,kg,1.08,43.07,5041.77,Sold
92f0cda3-446b-481c-bcbe-162856897f8c,2026-01-29,Paper,Mixed,Baled Mixed available at Horana factory.,Horana Export Processing Zone,555.43,kg,1.18,20.77,11536.28,Available
56cb0454-b399-4b3e-bee4-e7ec39f7e490,2026-01-29,Organic,Food Waste,Baled Food Waste available at Katunayake factory.,Katunayake Export Processing Zone,89.42,kg,0.96,11.22,1003.29,Available
6879d1f6-e929-4a52-81a8-ffbcdaa79276,2026-01-29,Plastic,LDPE Wrap,Mixed LDPE Wrap available at Paliyagoda factory.,Paliyagoda,1372.68,kg,0.92,69.29,95113.0,Sold
2c7e673c-c1c0-40da-9ba4-b57326ed8874,2026-01-29,Textile Offcuts,Polyester,Dirty Polyester available at Colombo factory.,Colombo Industrial Zone,449.41,kg,1.12,47.32,21266.08,Available
7aee6e85-db70-49ce-bd99-72a0ccde42fe,2026-01-29,Organic,Food Waste,Leftover Food Waste available at Paliyagoda factory.,Paliyagoda,722.55,kg,0.99,13.02,9407.6,Available
13a82b68-54f8-447b-bf09-d62004961143,2026-01-29,Textile Offcuts,Polyester,Sorted Polyester available at Colombo factory.,Colombo Industrial Zone,1067.93,kg,1.05,78.23,83544.16,Available
9811b755-f4bf-4371-b978-df9b77c76eb3,2026-01-29,Plastic,HDPE Containers,Loose HDPE Containers available at Biyagama factory.,Biyagama Export Processing Zone,1691.49,kg,1.15,126.94,214717.74,Available
2d9cae8e-c940-4faa-b874-f4a5d241b97b,2026-01-29,Plastic,HDPE Containers,Leftover HDPE Containers available at Koggala factory.,Koggala Export Processing Zone,979.61,kg,1.07,101.0,98940.61,Available
1c619b5a-3c8b-4e37-b51f-f6e73cdf09cd,2026-01-29,Plastic,HDPE Containers,Sorted HDPE Containers available at Paliyagoda factory.,Paliyagoda,310.75,kg,1.17,147.48,45829.41,Available
502fadf0-b432-4647-95c9-5501888f59d0,2026-01-29,Metal,Steel Scraps,Dirty Steel Scraps available at Colombo factory.,Colombo Industrial Zone,1887.81,kg,1.19,183.5,346413.14,Available
63c380cf-e48c-4868-9b4e-a0e40f31ed63,2026-01-29,Metal,Aluminum Cans,Leftover Aluminum Cans available at Ekala factory.,Ekala Industrial Estate,1223.77,kg,1.09,446.37,546254.21,Available
aab52544-3426-4974-ad81-49ba33d930e5,2026-01-29,Metal,Steel Scraps,Sorted Steel Scraps available at Biyagama factory.,Biyagama Export Processing Zone,1111.08,kg,1.0,178.9,198772.21,Available
07c2a024-ec17-407b-bc2f-fad25ea97f48,2026-01-29,Plastic,LDPE Wrap,Clean LDPE Wrap available at Paliyagoda factory.,Paliyagoda,1143.16,kg,1.03,103.2,117974.11,Available
c912e0a5-13a3-469f-9839-83b5c63535a4,2026-01-29,Paper,Cardboard,Baled Cardboard available at Katunayake factory.,Katunayake Export Processing Zone,301.96,kg,1.15,62.32,18818.15,Sold
c53eab84-08b1-4911-b152-250727f3e941,2026-01-29,Textile Offcuts,Mixed,Clean Mixed available at Koggala factory.,Koggala Export Processing Zone,882.03,kg,0.99,27.27,24052.96,Available
426e6abc-3388-4e47-90ab-aac746b31e9f,2026-01-29,Plastic,PET Bottles,Leftover PET Bottles available at Seethawaka factory.,Seethawaka Export Processing Zone,1553.44,kg,1.14,141.18,219314.66,Available
22ab46f7-7847-4645-80ee-a36478aa7945,2026-01-29,Textile Offcuts,Mixed,Unsorted Mixed available at Colombo factory.,Colombo Industrial Zone,960.93,kg,0.82,35.55,34161.06,Available
46964ef0-e885-4cce-9b72-b722bef09eae,2026-01-29,Textile Offcuts,Mixed,Dirty Mixed available at Koggala factory.,Koggala Export Processing Zone,187.08,kg,1.16,41.72,7804.98,Available
57614732-48c0-4f1e-9d50-a003c114cf3a,2026-01-29,Paper,Mixed,Clean Mixed available at Katunayake factory.,Katunayake Export Processing Zone,826.82,kg,0.96,14.99,12394.03,Sold
111c3824-5473-4885-83bf-d73e3e304adb,2026-01-29,Paper,Mixed,Dirty Mixed available at Seethawaka factory.,Seethawaka Export Processing Zone,360.79,kg,0.84,12.79,4614.5,Sold
d897b557-aab5-469a-85c6-4e4c1ecf90d7,2026-01-29,Plastic,HDPE Containers,Clean HDPE Containers available at Ekala factory.,Ekala Industrial Estate,1201.1,kg,0.86,83.41,100183.75,Available
32ac4887-703f-4cb8-b01b-bfebc926b257,2026-01-29,Textile Offcuts,Cotton,Loose Cotton available at Biyagama factory.,Biyagama Export Processing Zone,1469.1,kg,0.88,72.82,106979.86,Available
d07179ec-e14d-401f-a8f9-1398b82bb4e2,2026-01-29,Textile Offcuts,Polyester,Mixed Polyester available at Paliyagoda factory.,Paliyagoda,1554.28,kg,1.01,53.25,82765.41,Available
4cd58d5b-8775-4459-b4a6-0109467567db,2026-01-29,Metal,Steel Scraps,Leftover Steel Scraps available at Ekala factory.,Ekala Industrial Estate,1896.44,kg,0.83,197.26,374091.75,Available
48a2ac98-1231-47ff-bb83-e048ba1b1476,2026-01-29,Metal,Steel Scraps,Loose Steel Scraps available at Colombo factory.,Colombo Industrial Zone,1267.81,kg,0.98,218.77,277358.79,Available
